Probe,Span,Theta (radians),Pressure (kPa)
1,1,0,1.021
2,1,0.785398163,0.987
3,1,1.570796327,0.976
4,1,2.35619449,0.985
5,1,3.141592654,1.01
6,1,3.926990817,1.028
7,1,4.71238898,1.024
8,1,5.497787144,1.028
9,2,0,1.024
10,2,0.785398163,0.98
11,2,1.570796327,0.96
12,2,2.35619449,0.97
13,2,3.141592654,1.005
14,2,3.926990817,1.02
15,2,4.71238898,1.008
16,2,5.497787144,1.018
17,3,0,1.027
18,3,0.785398163,0.972
19,3,1.570796327,0.948
20,3,2.35619449,0.96
21,3,3.141592654,1.001
22,3,3.926990817,1.017
23,3,4.71238898,0.995
24,3,5.497787144,1.01
25,4,0,1.025
26,4,0.785398163,0.963
27,4,1.570796327,0.938
28,4,2.35619449,0.95
29,4,3.141592654,1
30,4,3.926990817,1.006
31,4,4.71238898,0.985
32,4,5.497787144,1.004
33,5,0,1.02
34,5,0.785398163,0.957
35,5,1.570796327,0.93
36,5,2.35619449,0.942
37,5,3.141592654,1
38,5,3.926990817,1.024
39,5,4.71238898,0.952
40,5,5.497787144,0.998
